Frequency,Nu_f,Flux,Flux_err,T_start,T_stop,UL,data_set
7.7152754E+14,0.0000000E+00,6.3535088E-15,0.0000000E+00,55648.5401,55650.5401,True,UVOT1
5.5400166E+14,0.0000000E+00,7.3140652E-14,0.0000000E+00,55648.5401,55650.5401,True,UVOT1
6.8976476E+14,0.0000000E+00,7.0340531E-14,0.0000000E+00,55648.5401,55650.5401,True,UVOT1
8.5144123E+14,0.0000000E+00,7.2537585E-15,0.0000000E+00,55648.5401,55650.5401,True,UVOT1
1.1169199E+15,0.0000000E+00,2.0886615E-14,0.0000000E+00,55648.5401,55650.5401,True,UVOT1
1.3349027E+15,0.0000000E+00,2.3556433E-14,0.0000000E+00,55648.5401,55650.5401,True,UVOT1
1.4373709E+15,0.0000000E+00,2.0815289E-14,0.0000000E+00,55648.5401,55650.5401,True,UVOT1
4.6738870E+14,0.0000000E+00,1.4542264E-14,6.5630260E-15,55649.45823,55649.45823,False,LOAO
4.6738870E+14,0.0000000E+00,1.6241720E-14,3.2910215E-15,55650.45167,55650.49152,False,LOAO
4.6738870E+14,0.0000000E+00,1.5945275E-14,3.6715382E-15,55656.46905,55656.50177,False,LOAO
4.6738870E+14,0.0000000E+00,1.8307625E-14,5.2272074E-15,55657.51528,55657.49309,False,LOAO
4.6738870E+14,0.0000000E+00,3.2970135E-14,2.6907998E-15,55659.42324,55659.47855,False,LOAO
1.4069743E+14,0.0000000E+00,1.8479165E-13,1.1913965E-14,55650.65091,55652.76172,False,BOAO
1.3706991E+14,0.0000000E+00,1.4831144E-13,5.4639986E-15,55651.23164,55653.92722,False,TNG
1.4069743E+14,0.0000000E+00,1.4147586E-13,1.0424333E-14,55651.63635,55654.7326,False,BOAO
1.8573236E+14,0.0000000E+00,8.1729292E-14,6.7747958E-15,55651.67763,55654.81516,False,BOAO
2.3858189E+14,0.0000000E+00,3.2971302E-14,3.6441255E-15,55653.13674,55657.73422,False,TNG
1.8587170E+14,0.0000000E+00,4.3755786E-14,3.6270535E-15,55653.17847,55657.8182,False,TNG
1.3706991E+14,0.0000000E+00,6.9051744E-14,6.3599046E-15,55653.22289,55657.90971,False,TNG
1.4069743E+14,0.0000000E+00,5.5294552E-14,5.6021016E-15,55654.64884,55660.75758,False,BOAO
1.8573236E+14,0.0000000E+00,4.6171899E-14,4.6778511E-15,55654.68963,55660.83916,False,BOAO
1.3706991E+14,0.0000000E+00,4.4789339E-14,5.7753545E-15,55664.12765,55679.71923,False,TNG
1.3706991E+14,0.0000000E+00,4.0848363E-14,3.7622756E-15,55664.98145,55681.42904,False,TNG
1.3706991E+14,0.0000000E+00,4.5622035E-14,4.2019474E-15,55672.92781,55697.33051,False,TNG
4.8359785E+18,1.2089946E+18,4.5182040E-10,1.4836372E-10,55648.5401,55648.55409,False,BAT_M
9.0674597E+18,3.0224866E+18,7.0296525E-10,1.6102110E-10,55648.5401,55648.55409,False,BAT_M
1.8134919E+19,6.0449731E+18,7.9669395E-10,2.7998445E-10,55648.5401,55648.55409,False,BAT_M
5.4404758E+19,3.0224866E+19,2.0007473E-09,1.3698810E-09,55648.5401,55648.55409,False,BAT_M
7.2539677E+17,0.0000000E+00,2.5266200E-11,5.1775000E-14,55648.6112,55662.9625,False,XRT_WT
1.2089946E+17,0.0000000E+00,7.4783900E-13,7.8015700E-15,55648.6112,55662.9625,False,XRT_WT
3.6269839E+17,0.0000000E+00,1.3259900E-11,4.4256800E-14,55648.6112,55662.9625,False,XRT_WT
1.0880952E+18,0.0000000E+00,4.4095600E-11,1.1806500E-13,55648.6112,55662.9625,False,XRT_WT
2.4179892E+23,0.0000000E+00,2.4100000E-11,0.0000000E+00,55648.0000,55649.0000,True,FERMI1
1.2089946E+26,0.0000000E+00,3.0000000E-12,0.0000000E+00,55649.43542,55651.43542,True,VERITAS
8.9000000E+09,0.0000000E+00,1.5130000E-16,8.9000000E-18,55654.22917,55654.39583,False,VLBA
1.0250000E+11,0.0000000E+00,2.1320000E-14,1.0250000E-16,55651.92361,55652.02431,False,IRAM